species	manual_count	agent_count	side
001.Allagelena difficilis	23	23	both
002.Anyphaena bomiensis	23	33	both
003.Atypus heterothecus	4	2	both
004.Borboropactus sp	11	11	both
005.Bowie medogensis	11	10	both
006.Cicurina yinheensis	12	11	both
007.Ctenus medogensis	10	9	both
008.Cybaeus sp	10	10	both
009.Cyclocosmia sp	6	4	both
010.Damarchus sp	2	2	both
011.Dolomedes nigrimaculatus	21	21	both
012.Ectatosticta nyingchiensis	11	14	both
013.Evarcha sp	25	24	both
014.Guicybaeus sp	4	6	both
015.Heliconilla oblonga	6	4	both
016.Hersilia striata	13	12	both
017.Hippasa lycosina	17	15	both
018.Jacaena bannaensis	4	4	both
019.Karstia sp	24	21	both
020.Lathys subalberta	19	16	both
021.Leclercera selasihensis	4	4	both
022.Loxosceles rufescens	2	1	both
023.Macrothele washanensis	15	13	both
024.Meta wanglangensis	35	34	both
025.Micaria jinlin	7	5	both
026.Mimetus sp	11	11	both
027.Neobisiidae sp	1	0	manual_only
028.Neriene sp	15	15	both
029.nizha	10	9	both
030.Oecobius navus	6	7	both
031.Pandercetes sp	57	28	both
032.Perania robusta	4	4	both
033.Peucetia latikae	28	29	both
034.Pholcus sp	1	2	both
035.Phrurolithus hamatus	4	5	both
036.Pimoa nyingchi	9	12	both
037.Pireneitega xinping	6	7	both
038.Plator bowo	0	8	agent_only
039.Prochora praticola	11	15	both
040.Psechrus senoculatus	9	15	both
042.Psilodercidae sp	1	5	both
043.Raveniola sp	7	9	both
044.Schizomida sp	1	0	manual_only
046.Scytodidae sp	0	1	agent_only
047.Selenops bursarius	6	8	both
048.Solifugae sp	3	0	manual_only
049.Songthela sp	1	1	both
050.Spinirta sp	9	12	both
051.Stedocys bafengensis	1	1	both
052.Taira zhui	10	14	both
053.Tibellus sp.2	11	15	both
054.Titanoeca chayuensis	11	13	both
055.Tricalamus sp	0	1	agent_only
056.Uloborus guangxiensis	19	27	both
057.Uropygi sp	1	0	manual_only
059.Zoropsis tangi	13	22	both
060.Acanthoscurria geniculata	0	7	agent_only
061.Amaurobius ferox	0	20	agent_only
062.Anelosimus studiosus	0	23	agent_only
063.Araneus marmoreus	22	39	both
064.Araneus ventricosus	40	45	both
065.Argiope argentata	0	32	agent_only
066.Argiope aurantia	0	56	agent_only
067.Argiope bruennichi	44	46	both
068.Argiope trifasciata	61	57	both
069.Atypus karschi	5	2	both
070.Caerostris darwini	37	33	both
071.Caerostris extrusa	30	29	both
072.Chaetopelma lymberakisi	7	6	both
073.Cheiracanthium punctorium	16	18	both
074.Dolomedes plantarius	21	24	both
075.Dysdera silvatica	3	2	both
076.Ectatosticta davidi	11	12	both
077.Eratigena atrica	14	14	both
078.Gibbaranea gibbosa	34	34	both
079.Heteropoda venatoria	15	13	both
080.Hylyphantes graminicola	11	10	both
081.Larinioides cornutus	42	41	both
082.Larinioides sclopetarius	32	35	both
083.Latrodectus elegans	22	22	both
084.Latrodectus geometricus	1	21	both
085.Latrodectus hesperus	24	24	both
086.Leviellus thorelli	25	25	both
087.Linyphia triangularis	18	15	both
088.Loxosceles reclusa	1	1	both
089.Luthela beijing	4	1	both
090.Lycosa singoriensis	27	25	both
091.Macrothele cretica	6	5	both
092.Macrothele yani	11	10	both
093.Maratus albus	18	19	both
094.Maratus michaelseni	21	21	both
095.Maratus speciosus	19	20	both
096.Maratus speculifer	21	20	both
097.Meta bourneti	28	38	both
098.Metellina segmentata	28	29	both
099.Nephila pilipes	21	21	both
100.Octonoba sinensis	11	10	both
101.Oedothorax gibbosus	11	10	both
102.Parasteatoda lunata	29	30	both
103.Parasteatoda tepidariorum	16	21	both
104.Pardosa agraria	16	16	both
105.Pardosa laura	18	17	both
106.Pardosa pseudoannulata	23	22	both
107.Ryuthela nishihirai	1	1	both
108.Salticus scenicus	39	40	both
109.Stegodyphus bicolor	17	16	both
110.Stegodyphus dumicola	18	17	both
111.Stegodyphus lineatus	20	18	both
112.Stegodyphus mimosarum	19	16	both
113.Stegodyphus sarasinorum	17	16	both
114.Stegodyphus tentoriicola	18	18	both
115.Tetragnatha kauaiensis	0	21	agent_only
116.Tetragnatha montana	0	22	agent_only
117.Tetragnatha versicolor	0	19	agent_only
118.Trichonephila antipodiana	0	33	agent_only
119.Trichonephila clavata	38	39	both
120.Trichonephila clavipes	0	34	agent_only
121.Trichonephila inaurata madagascariensis	0	32	agent_only
122.Troglohyphantes excavatus	0	10	agent_only
123.Uloborus diversus	0	14	agent_only
124.Uloborus plumipes	0	11	agent_only
125.Aptostichus stephencolberti	0	7	agent_only
126.Araneus angulatus	39	56	both
127.Dysdera catalonica	2	3	both
128.Dysdera tilosensis	2	2	both
129.Philodromus cespitum	11	11	both
130.Pimoa clavata	7	9	both
131.Segestria senoculata	2	4	both
132.Tibellus oblongus	15	16	both
133.Xysticus acerbus	16	19	both
134.Zoropsis spinimana	14	20	both
