species	tp	fn	fp	precision	recall	f1
062.Anelosimus studiosus	0	0	23	0.0		
061.Amaurobius ferox	0	0	20	0.0		
117.Tetragnatha versicolor	0	0	19	0.0		
125.Aptostichus stephencolberti	0	0	7	0.0		
124.Uloborus plumipes	0	0	11	0.0		
123.Uloborus diversus	0	0	14	0.0		
046.Scytodidae sp	0	0	1	0.0		
066.Argiope aurantia	0	0	56	0.0		
120.Trichonephila clavipes	0	0	34	0.0		
122.Troglohyphantes excavatus	0	0	10	0.0		
065.Argiope argentata	0	0	32	0.0		
055.Tricalamus sp	0	0	1	0.0		
038.Plator bowo	0	0	8	0.0		
060.Acanthoscurria geniculata	0	0	7	0.0		
115.Tetragnatha kauaiensis	0	0	21	0.0		
118.Trichonephila antipodiana	0	0	33	0.0		
121.Trichonephila inaurata madagascariensis	0	0	32	0.0		
116.Tetragnatha montana	0	0	22	0.0		
063.Araneus marmoreus	0	22	39	0.0	0.0	
034.Pholcus sp	0	1	2	0.0	0.0	
035.Phrurolithus hamatus	0	4	5	0.0	0.0	
022.Loxosceles rufescens	0	2	1	0.0	0.0	
036.Pimoa nyingchi	0	9	12	0.0	0.0	
057.Uropygi sp	0	1	0		0.0	
126.Araneus angulatus	0	39	56	0.0	0.0	
042.Psilodercidae sp	0	1	5	0.0	0.0	
048.Solifugae sp	0	3	0		0.0	
053.Tibellus sp.2	0	11	15	0.0	0.0	
044.Schizomida sp	0	1	0		0.0	
051.Stedocys bafengensis	0	1	1	0.0	0.0	
027.Neobisiidae sp	0	1	0		0.0	
056.Uloborus guangxiensis	3	16	24	0.1111111111111111	0.15789473684210525	0.13043478260869565
069.Atypus karschi	1	4	1	0.5	0.2	0.28571428571428575
050.Spinirta sp	2	7	10	0.16666666666666666	0.2222222222222222	0.1904761904761905
089.Luthela beijing	1	3	0	1.0	0.25	0.4
003.Atypus heterothecus	1	3	1	0.5	0.25	0.3333333333333333
021.Leclercera selasihensis	1	3	3	0.25	0.25	0.25
009.Cyclocosmia sp	2	4	2	0.5	0.3333333333333333	0.4
040.Psechrus senoculatus	3	6	12	0.2	0.3333333333333333	0.25
075.Dysdera silvatica	1	2	1	0.5	0.3333333333333333	0.4
039.Prochora praticola	4	7	11	0.26666666666666666	0.36363636363636365	0.30769230769230765
054.Titanoeca chayuensis	4	7	9	0.3076923076923077	0.36363636363636365	0.33333333333333337
019.Karstia sp	11	13	10	0.5238095238095238	0.4583333333333333	0.4888888888888889
059.Zoropsis tangi	6	7	16	0.2727272727272727	0.46153846153846156	0.3428571428571428
031.Pandercetes sp	28	29	0	1.0	0.49122807017543857	0.6588235294117647
