species	chr	strand	match_status	manual_id	manual_start	manual_end	manual_type	manual_full_length	manual_hint_type	manual_scoring	agent_id	agent_start	agent_end	agent_type	agent_full_length	agent_hint_type	agent_confidence	agent_needs_review	agent_miniprot_identity	manual_in_agent_frac	agent_in_manual_frac	start_diff	end_diff	type_agree	full_length_agree	hint_type_agree
001.Allagelena difficilis	chr07	-	manual_only	Aldi_spid00010	71710123	71717398	acsp	true	Full_length	3																
001.Allagelena difficilis	chr07	-	agent_only								Aldi_spid_00010	71716927	71717398	acsp	false	N-terminal	medium	true	0.4175							
002.Anyphaena bomiensis	chr01	-	matched	Anbo_spid00009	91842827	91851196	masp	true	Full_length	5	Anbo_spid_00009	91842827	91851196	misp	true	Full_length	high	false	0.7197	1.0	1.0	0	0	false	true	true
002.Anyphaena bomiensis	chr01	-	matched	Anbo_spid00008	91786617	91795547	masp	true	Full_length	4	Anbo_spid_00008	91786617	91795547	misp	true	Full_length	high	false	0.5784	1.0	1.0	0	0	false	true	true
002.Anyphaena bomiensis	chr03	+	agent_only								Anbo_spid_00022	20161972	20162438	acsp	false	N-terminal	medium	true								
002.Anyphaena bomiensis	chr10	-	agent_only								Anbo_spid_00026	95069435	95078526	misp	true	Full_length	high	false	0.5198							
002.Anyphaena bomiensis	chr10	-	agent_only								Anbo_spid_00025	95056364	95056656	misp	false	C-terminal	medium	true	0.5252							
002.Anyphaena bomiensis	chr10	-	agent_only								Anbo_spid_00027	95140317	95150097	misp	true	Full_length	high	false	0.768							
002.Anyphaena bomiensis	chr12	+	agent_only								Anbo_spid_00028	49958817	49959296	acsp	false	N-terminal	medium	true								
002.Anyphaena bomiensis	chr14	+	agent_only								Anbo_spid_00030	36998206	37006511	misp	true	Full_length	high	false	0.5563							
002.Anyphaena bomiensis	chr14	+	agent_only								Anbo_spid_00033	79828272	79846991	acsp	true	Full_length	high	false	0.9323							
002.Anyphaena bomiensis	chr14	-	agent_only								Anbo_spid_00029	9387589	9464560	misp	true	Full_length	high	false	0.5175							
002.Anyphaena bomiensis	chr14	-	agent_only								Anbo_spid_00031	78149559	78157295	misp	true	Full_length	high	false	0.67							
002.Anyphaena bomiensis	chr14	-	agent_only								Anbo_spid_00032	78237091	78245754	misp	true	Full_length	high	false	0.75							
003.Atypus heterothecus	chr03	-	manual_only	Athe_spid00001	17934212	17934696	acsp	false	N-terminal	2																
003.Atypus heterothecus	chr03	-	agent_only								Athe_spid_00001	17922971	17934677	masp	true	Full_length	medium	true								
003.Atypus heterothecus	chr09	+	manual_only	Athe_spid00003	10033426	10062930	masp	true	Full_length	3																
003.Atypus heterothecus	chr09	-	matched	Athe_spid00002	8575029	8575505	masp	false	Full_length	2	Athe_spid_00002	8575029	8575505	masp	false	N-terminal	medium	true		1.0	1.0	0	0	true	true	false
003.Atypus heterothecus	chr09	-	manual_only	Athe_spid00004	13110577	13142763	masp	true	Full_length	4																
004.Borboropactus sp	chr15	+	matched	Bosp_spid00005	72464937	72474020	masp	true	Full_length	5	Bosp_spid_00005	72464937	72474020	masp1	true	Full_length	high	false	0.6542	1.0	1.0	0	0	false	true	true
004.Borboropactus sp	chr15	-	matched	Bosp_spid000010	84647441	84655171	masp1	true	Full_length	5	Bosp_spid_00010	84647441	84655171	masp1/misp	true	Full_length	medium	true	0.6238	1.0	1.0	0	0	false	true	true
004.Borboropactus sp	chr15	-	matched	Bosp_spid00009	84588599	84597148	masp1	true	Full_length	5	Bosp_spid_00009	84588599	84597148	misp	true	Full_length	high	false	0.4876	1.0	1.0	0	0	false	true	true
004.Borboropactus sp	chr15	-	matched	Bosp_spid00008	84542542	84549495	masp1	true	Full_length	5	Bosp_spid_00008	84542542	84549495	misp	true	Full_length	high	false	0.62	1.0	1.0	0	0	false	true	true
004.Borboropactus sp	chr15	-	matched	Bosp_spid00007	84496415	84503431	masp1	true	Full_length	5	Bosp_spid_00007	84496415	84503431	misp	true	Full_length	high	false	0.5556	1.0	1.0	0	0	false	true	true
