species	chr	strand	match_status	manual_id	manual_start	manual_end	manual_type	manual_full_length	manual_hint_type	manual_scoring	agent_id	agent_start	agent_end	agent_type	agent_full_length	agent_hint_type	agent_confidence	agent_needs_review	agent_miniprot_identity	manual_in_agent_frac	agent_in_manual_frac	start_diff	end_diff	type_agree	full_length_agree	hint_type_agree
001.Allagelena difficilis	chr07	+	matched	Aldi_spid00003	68498877	68522255	acsp	true	Full_length	4	Aldi_spid_00003	68498877	68522255	acsp	true	Full_length	high	false	0.5243	1.0	1.0	0	0	true	true	true
001.Allagelena difficilis	chr07	+	matched	Aldi_spid00001	67933765	67957401	acsp	true	Full_length	4	Aldi_spid_00001	67933765	67957401	acsp	true	Full_length	high	false	0.9049	1.0	1.0	0	0	true	true	true
001.Allagelena difficilis	chr07	+	matched	Aldi_spid00002	68214275	68214605	acsp	false	C-terminal	1	Aldi_spid_00002	68214275	68214611	acsp	false	C-terminal	medium	true		1.0	0.9821428571428571	0	6	true	true	true
001.Allagelena difficilis	chr07	-	matched	Aldi_spid00015	218712203	218723467	pysp	true	Full_length	5	Aldi_spid_00015	218712203	218723467	pysp	true	Full_length	high	false	0.9421	1.0	1.0	0	0	true	true	true
001.Allagelena difficilis	chr07	-	matched	Aldi_spid00014	218630782	218642592	pysp	true	Full_length	5	Aldi_spid_00014	218630782	218642592	pysp	true	Full_length	high	false	0.973	1.0	1.0	0	0	true	true	true
001.Allagelena difficilis	chr07	-	matched	Aldi_spid00013	218550542	218561248	pysp	true	Full_length	5	Aldi_spid_00013	218550542	218561248	pysp	true	Full_length	high	false	0.8819	1.0	1.0	0	0	true	true	true
001.Allagelena difficilis	chr07	-	matched	Aldi_spid00012	72785145	72807731	acsp	true	Full_length		Aldi_spid_00012	72785145	72807731	acsp	true	Full_length	high	false	0.7354	1.0	1.0	0	0	true	true	true
001.Allagelena difficilis	chr07	-	matched	Aldi_spid00009	71442768	71465633	acsp	true	Full_length	4	Aldi_spid_00009	71442768	71465633	acsp	true	Full_length	high	false	0.4966	1.0	1.0	0	0	true	true	true
001.Allagelena difficilis	chr07	-	matched	Aldi_spid00007	71384462	71384791	acsp	false	C-terminal	2	Aldi_spid_00007	71384456	71384791	acsp	false	C-terminal	medium	true	0.4082	1.0	0.982089552238806	-6	0	true	true	true
001.Allagelena difficilis	chr07	-	matched	Aldi_spid00006	71288648	71288977	acsp	false	C-terminal	2	Aldi_spid_00006	71288642	71288977	acsp	false	C-terminal	medium	true	0.4678	1.0	0.982089552238806	-6	0	true	true	true
001.Allagelena difficilis	chr07	-	matched	Aldi_spid00005	71259059	71259388	acsp	false	C-terminal	2	Aldi_spid_00005	71259053	71259388	acsp	false	C-terminal	medium	true	0.4721	1.0	0.982089552238806	-6	0	true	true	true
001.Allagelena difficilis	chr07	-	matched	Aldi_spid00004	71243836	71244165	acsp	false	C-terminal	2	Aldi_spid_00004	71243830	71244165	acsp	false	C-terminal	medium	true	0.4784	1.0	0.982089552238806	-6	0	true	true	true
001.Allagelena difficilis	chr07	-	matched	Aldi_spid00011	72780900	72781228	acsp	false	C-terminal	2	Aldi_spid_00011	72780894	72781228	acsp	false	C-terminal	medium	true	0.2749	1.0	0.9820359281437125	-6	0	true	true	true
001.Allagelena difficilis	chr07	-	matched	Aldi_spid00008	71396642	71396970	acsp	false	C-terminal	2	Aldi_spid_00008	71396636	71396970	acsp	false	C-terminal	medium	true	0.3763	1.0	0.9820359281437125	-6	0	true	true	true
001.Allagelena difficilis	chr07	-	manual_only	Aldi_spid00010	71710123	71717398	acsp	true	Full_length	3																
001.Allagelena difficilis	chr07	-	agent_only								Aldi_spid_00010	71716927	71717398	acsp	false	N-terminal	medium	true	0.4175							
001.Allagelena difficilis	chr10	+	matched	Aldi_spid00017	35245288	35257698	cysp	true	Full_length	4	Aldi_spid_00017	35245288	35257698	cysp	true	Full_length	high	false	0.7489	1.0	1.0	0	0	true	true	true
001.Allagelena difficilis	chr10	+	matched	Aldi_spid00016	34661983	34677303	cysp	true	Full_length	4	Aldi_spid_00016	34661983	34677303	cysp	true	Full_length	high	false	0.9915	1.0	1.0	0	0	true	true	true
001.Allagelena difficilis	chr15	+	matched	Aldi_spid00019	131326371	131333843	misp	true	Full_length	5	Aldi_spid_00019	131326371	131333844	misp	true	Full_length	high	false	0.6087	1.0	0.9998661849324234	0	1	true	true	true
001.Allagelena difficilis	chr15	+	matched	Aldi_spid00018	131199519	131208839	misp	true	Full_length	5	Aldi_spid_00018	131199519	131208841	misp	true	Full_length	high	false	0.6452	1.0	0.9997854537652864	0	2	true	true	true
001.Allagelena difficilis	chr15	+	matched	Aldi_spid00020	131696138	131703518	misp	true	Full_length	5	Aldi_spid_00020	131696138	131703540	misp	true	Full_length	high	false	0.9159	1.0	0.9970278303161307	0	22	true	true	true
001.Allagelena difficilis	chr15	-	matched	Aldi_spid00022	132580677	132594902	misp	true	Full_length	5	Aldi_spid_00022	132580666	132594902	misp	true	Full_length	high	false	0.9686	1.0	0.9992273110424277	-11	0	true	true	true
001.Allagelena difficilis	chr15	-	matched	Aldi_spid00021	132122050	132135858	misp	true	Full_length	5	Aldi_spid_00021	132122039	132135858	misp	true	Full_length	high	false	0.9667	1.0	0.9992039945003256	-11	0	true	true	true
001.Allagelena difficilis	chr22	+	matched	Aldi_spid00023	132611147	132616309	acsp	true	Full_length	3	Aldi_spid_00023	132611147	132616309	acsp	true	Full_length	high	false	0.7518	1.0	1.0	0	0	true	true	true
002.Anyphaena bomiensis	chr01	+	matched	Anbo_spid00006	91525791	91533440	misp	true	Full_length	5	Anbo_spid_00006	91525791	91533440	misp	true	Full_length	high	false	0.5784	1.0	1.0	0	0	true	true	true
002.Anyphaena bomiensis	chr01	+	matched	Anbo_spid00005	91483808	91491310	misp	true	Full_length	4	Anbo_spid_00005	91483808	91491310	misp	true	Full_length	high	false	0.6987	1.0	1.0	0	0	true	true	true
002.Anyphaena bomiensis	chr01	+	matched	Anbo_spid00004	91436737	91444476	misp	true	Full_length	4	Anbo_spid_00004	91436737	91444476	misp	true	Full_length	high	false	0.6653	1.0	1.0	0	0	true	true	true
002.Anyphaena bomiensis	chr01	+	matched	Anbo_spid00003	91336115	91342630	misp	true	Full_length	5	Anbo_spid_00003	91336115	91342630	misp	true	Full_length	high	false	0.8015	1.0	1.0	0	0	true	true	true
002.Anyphaena bomiensis	chr01	+	matched	Anbo_spid00002	91266048	91273616	misp	true	Full_length	4	Anbo_spid_00002	91266048	91273616	misp	true	Full_length	high	false	0.6547	1.0	1.0	0	0	true	true	true
002.Anyphaena bomiensis	chr01	+	matched	Anbo_spid00001	91144251	91151174	misp	true	Full_length	5	Anbo_spid_00001	91144251	91151174	misp	true	Full_length	high	false	0.6546	1.0	1.0	0	0	true	true	true
002.Anyphaena bomiensis	chr01	-	matched	Anbo_spid00017	92417384	92424916	misp	true	Full_length	5	Anbo_spid_00017	92417384	92424916	misp	true	Full_length	high	false	0.6486	1.0	1.0	0	0	true	true	true
002.Anyphaena bomiensis	chr01	-	matched	Anbo_spid00016	92351975	92358169	misp	true	Full_length	5	Anbo_spid_00016	92351975	92358169	misp	true	Full_length	high	false	0.6703	1.0	1.0	0	0	true	true	true
002.Anyphaena bomiensis	chr01	-	matched	Anbo_spid00015	92257549	92265228	misp	true	Full_length	4	Anbo_spid_00015	92257549	92265228	misp	true	Full_length	high	false	0.7179	1.0	1.0	0	0	true	true	true
002.Anyphaena bomiensis	chr01	-	matched	Anbo_spid00014	92215348	92223027	misp	true	Full_length	4	Anbo_spid_00014	92215348	92223027	misp	true	Full_length	high	false	0.6515	1.0	1.0	0	0	true	true	true
002.Anyphaena bomiensis	chr01	-	matched	Anbo_spid00013	92161117	92168918	misp	true	Full_length	4	Anbo_spid_00013	92161117	92168918	misp	true	Full_length	high	false	0.669	1.0	1.0	0	0	true	true	true
002.Anyphaena bomiensis	chr01	-	matched	Anbo_spid00012	92101592	92109451	misp	true	Full_length	5	Anbo_spid_00012	92101592	92109451	misp	true	Full_length	high	false	0.72	1.0	1.0	0	0	true	true	true
002.Anyphaena bomiensis	chr01	-	matched	Anbo_spid00011	92024452	92032581	misp	true	Full_length	4	Anbo_spid_00011	92024452	92032581	misp	true	Full_length	high	false	0.6162	1.0	1.0	0	0	true	true	true
002.Anyphaena bomiensis	chr01	-	matched	Anbo_spid00010	91989730	91997535	misp	true	Full_length	5	Anbo_spid_00010	91989730	91997535	misp	true	Full_length	high	false	0.7313	1.0	1.0	0	0	true	true	true
002.Anyphaena bomiensis	chr01	-	matched	Anbo_spid00009	91842827	91851196	masp	true	Full_length	5	Anbo_spid_00009	91842827	91851196	misp	true	Full_length	high	false	0.7197	1.0	1.0	0	0	false	true	true
002.Anyphaena bomiensis	chr01	-	matched	Anbo_spid00008	91786617	91795547	masp	true	Full_length	4	Anbo_spid_00008	91786617	91795547	misp	true	Full_length	high	false	0.5784	1.0	1.0	0	0	false	true	true
002.Anyphaena bomiensis	chr01	-	matched	Anbo_spid00007	91704020	91711633	misp	true	Full_length	4	Anbo_spid_00007	91704020	91711633	misp	true	Full_length	high	false	0.4972	1.0	1.0	0	0	true	true	true
002.Anyphaena bomiensis	chr01	-	matched	Anbo_spid00018	115144854	115150436	masp	true	Full_length	4	Anbo_spid_00018	115144846	115150436	masp	true	Full_length	high	false	0.6607	1.0	0.9985688729874777	-8	0	true	true	true
